MQ7,MQ2,T,U
121.1,107.5,29.88,62.1
120.9,107.3,29.87,62.13
121.0,107.3,29.87,62.14
120.9,107.2,29.88,62.14
120.4,106.7,29.89,62.14
120.0,106.3,29.9,62.14
119.4,105.7,29.9,62.14
119.1,105.3,29.9,62.14
118.8,104.9,29.9,62.14
118.2,104.3,29.89,62.13
118.0,104.1,29.88,62.12
117.8,103.9,29.88,62.11
117.5,103.6,29.87,62.1
117.2,103.3,29.86,62.1
117.2,103.3,29.85,62.1
117.3,103.4,29.84,62.1
117.5,103.5,29.83,62.1
117.6,103.7,29.82,62.1
117.8,103.9,29.81,62.11
118.0,104.2,29.81,62.12
118.3,104.5,29.81,62.13
118.6,104.8,29.8,62.14
118.9,105.1,29.79,62.15
120.3,106.5,29.78,62.16
121.3,107.5,29.77,62.18
122.1,108.4,29.76,62.2
122.6,109.0,29.75,62.22
122.7,109.1,29.74,62.24
122.9,109.3,29.73,62.25
124.0,110.3,29.72,62.27
124.8,111.1,29.71,62.29
125.8,112.2,29.7,62.31
125.3,111.7,29.7,62.33
123.7,110.1,29.7,62.35
122.5,108.9,29.7,62.36
121.6,107.9,29.7,62.37
121.0,107.2,29.69,62.38
120.8,106.9,29.69,62.4
120.5,106.6,29.69,62.42
119.3,105.4,29.68,62.43
118.3,104.4,29.67,62.44
117.2,103.2,29.66,62.45
117.5,103.5,29.65,62.46
117.7,103.8,29.65,62.48
118.0,104.1,29.64,62.49
118.2,104.3,29.64,62.51
118.4,104.5,29.65,62.53
118.7,104.9,29.65,62.53
118.9,105.1,29.65,62.53
119.0,105.2,29.66,62.53
119.3,105.5,29.67,62.53
119.8,106.0,29.68,62.53
120.0,106.2,29.69,62.53
121.0,107.1,29.69,62.52
121.4,107.5,29.7,62.52
121.3,107.4,29.7,62.51
121.2,107.3,29.7,62.5
121.1,107.1,29.7,62.5
121.1,107.1,29.7,62.5
121.4,107.4,29.7,62.5
122.2,108.2,29.7,62.5
121.8,107.8,29.69,62.5
121.6,107.7,29.68,62.5
121.0,107.2,29.68,62.5
122.2,108.4,29.67,62.5
122.6,108.8,29.66,62.5
122.8,109.0,29.65,62.5
122.8,109.0,29.64,62.5
122.7,108.9,29.63,62.5
122.4,108.6,29.62,62.5
121.4,107.6,29.61,62.5
121.3,107.5,29.62,62.5
121.3,107.4,29.62,62.5
121.0,107.0,29.61,62.5
119.4,105.4,29.61,62.5
119.2,105.2,29.61,62.5
119.6,105.6,29.61,62.5
120.4,106.4,29.61,62.5
120.3,106.3,29.61,62.5
120.3,106.3,29.61,62.51
120.3,106.3,29.61,62.52
120.4,106.4,29.6,62.52
120.8,106.8,29.6,62.53
122.1,108.1,29.6,62.54
122.6,108.6,29.6,62.55
123.3,109.3,29.6,62.56
124.0,110.0,29.6,62.56
124.2,110.2,29.6,62.57
125.2,111.3,29.6,62.58
125.3,111.4,29.6,62.58
125.5,111.6,29.6,62.58
125.7,111.8,29.6,62.59
126.7,112.7,29.6,62.59
126.7,112.8,29.6,62.59
127.2,113.3,29.6,62.6
127.0,113.1,29.6,62.61
126.3,112.5,29.6,62.63
125.3,111.5,29.6,62.64
124.3,110.4,29.59,62.65
124.2,110.3,29.58,62.66
124.0,110.1,29.57,62.67
123.7,109.8,29.56,62.68
122.3,108.5,29.55,62.69
121.0,107.1,29.54,62.7
120.0,106.1,29.53,62.71
119.5,105.5,29.52,62.72
119.1,105.0,29.51,62.73
119.2,105.1,29.5,62.74
119.4,105.3,29.5,62.75
119.5,105.4,29.5,62.76
119.6,105.5,29.5,62.77
119.7,105.6,29.5,62.79
119.8,105.7,29.5,62.81
119.9,105.8,29.5,62.83
120.0,105.9,29.5,62.84
120.0,106.0,29.5,62.85
120.0,106.0,29.5,62.86
120.2,106.2,29.5,62.87
120.4,106.4,29.5,62.88
120.7,106.6,29.5,62.9
121.0,106.9,29.5,62.92
121.2,107.1,29.5,62.93
121.0,106.9,29.5,62.94
120.8,106.6,29.5,62.94
120.5,106.3,29.5,62.94
120.2,106.0,29.5,62.94
119.9,105.6,29.5,62.94
119.4,105.0,29.5,62.94
118.9,104.4,29.5,62.94
118.2,103.8,29.5,62.93
117.5,103.1,29.5,62.92
117.0,102.5,29.5,62.91
116.8,102.3,29.5,62.9
116.6,102.2,29.5,62.9
116.5,102.1,29.5,62.9
116.4,102.0,29.5,62.91
116.3,102.0,29.5,62.92
116.2,102.0,29.5,62.93
116.1,102.0,29.5,62.94
116.1,102.0,29.5,62.95
116.1,102.0,29.5,62.96
116.0,102.0,29.5,62.97
116.0,102.0,29.5,62.98
116.0,101.8,29.5,62.99
116.0,101.8,29.5,63.0
116.0,101.8,29.5,62.99
116.0,101.9,29.5,62.98
115.9,101.8,29.5,62.97
115.9,101.8,29.5,62.96
115.9,101.8,29.5,62.95
115.9,101.6,29.5,62.95
115.9,101.6,29.49,62.95
115.9,101.6,29.49,62.95
115.9,101.8,29.49,62.95
115.9,101.7,29.48,62.95
116.0,101.7,29.47,62.96
116.0,101.5,29.47,62.97
116.1,101.6,29.46,62.98
116.1,101.6,29.45,62.99
116.1,101.6,29.44,63.0
116.1,101.8,29.43,63.0
116.1,101.8,29.43,63.0
116.1,101.8,29.42,63.0
116.1,101.8,29.41,63.0
116.0,101.8,29.41,63.0
115.9,101.7,29.41,63.0
115.9,101.8,29.4,63.0
115.9,101.7,29.4,63.0
115.9,101.7,29.4,63.0
115.9,101.7,29.4,63.01
115.9,101.6,29.4,63.03
115.9,101.5,29.4,63.05
115.8,101.4,29.4,63.07
115.8,101.4,29.4,63.09
115.9,101.5,29.39,63.11
116.1,101.7,29.39,63.13
116.1,101.6,29.38,63.15
116.1,101.7,29.37,63.17
116.2,101.8,29.36,63.19
116.2,101.8,29.35,63.2
116.2,101.9,29.34,63.2
116.2,102.0,29.33,63.2
116.3,102.1,29.32,63.2
116.3,102.1,29.31,63.2
116.4,102.2,29.31,63.2
116.3,102.1,29.3,63.2
116.4,102.2,29.29,63.2
116.4,102.2,29.28,63.2
116.3,102.2,29.27,63.21
116.3,102.2,29.26,63.22
116.4,102.3,29.25,63.23
116.5,102.4,29.24,63.25
116.6,102.5,29.22,63.26
116.7,102.6,29.2,63.28
116.7,102.6,29.18,63.3
116.7,102.8,29.16,63.33
116.8,103.0,29.15,63.36
117.0,103.2,29.13,63.4
117.2,103.3,29.11,63.43
117.4,103.5,29.09,63.47
117.5,103.6,29.07,63.51
117.7,103.8,29.05,63.54
117.9,104.0,29.03,63.58
118.1,104.1,29.01,63.61
118.3,104.3,28.99,63.65
118.5,104.5,28.97,63.68
118.7,104.7,28.95,63.72
119.0,105.0,28.94,63.75
119.4,105.4,28.93,63.78
119.7,105.7,28.91,63.8
120.3,106.3,28.89,63.83
120.7,106.7,28.87,63.86
121.0,107.1,28.86,63.89
121.5,107.7,28.85,63.93
121.8,108.1,28.84,63.96
122.3,108.5,28.83,63.99
122.6,108.8,28.81,64.01
122.8,109.1,28.79,64.04
122.9,109.2,28.77,64.07
122.9,109.2,28.76,64.11
122.3,108.6,28.75,64.14
121.7,108.0,28.74,64.17
121.1,107.3,28.73,64.2
120.3,106.5,28.72,64.22
119.7,105.8,28.7,64.25
118.9,105.0,28.68,64.28
118.2,104.3,28.67,64.31
117.4,103.4,28.66,64.34
116.7,102.8,28.65,64.37
116.2,102.3,28.64,64.39
116.0,102.1,28.63,64.41
115.8,102.1,28.62,64.43
115.7,102.1,28.61,64.46
115.7,102.1,28.6,64.48
115.7,102.1,28.6,64.5
115.7,102.1,28.6,64.52
115.7,102.1,28.59,64.54
115.8,102.2,28.58,64.55
115.8,102.1,28.57,64.56
115.8,102.0,28.56,64.57
115.7,101.9,28.55,64.58
115.7,101.7,28.54,64.59
115.7,101.6,28.53,64.6
115.7,101.5,28.51,64.62
115.6,101.4,28.49,64.63
115.6,101.3,28.47,64.64
115.5,101.2,28.46,64.66
115.4,101.1,28.45,64.68
115.4,101.0,28.44,64.71
115.4,101.1,28.43,64.74
115.5,101.1,28.42,64.77
115.6,101.2,28.4,64.81
115.7,101.2,28.38,64.84
115.7,101.2,28.37,64.87
115.8,101.3,28.36,64.9
115.8,101.4,28.35,64.94
115.8,101.5,28.34,64.97
115.8,101.6,28.33,65.0
115.8,101.6,28.32,65.03
115.7,101.5,28.31,65.06
115.7,101.5,28.3,65.09
115.7,101.4,28.3,65.11
115.7,101.5,28.3,65.13
115.7,101.6,28.3,65.15
115.7,101.6,28.29,65.17
115.7,101.6,28.28,65.18
115.8,101.6,28.27,65.2
116.0,101.6,28.26,65.22
116.1,101.8,28.25,65.23
116.3,102.0,28.24,65.24
116.4,102.2,28.23,65.26
116.6,102.4,28.22,65.28
116.7,102.5,28.21,65.3
116.8,102.6,28.2,65.32
116.9,102.7,28.2,65.34
117.1,102.9,28.2,65.37
117.3,103.1,28.2,65.39
117.4,103.3,28.2,65.41
117.6,103.5,28.2,65.43
117.8,103.7,28.2,65.45
118.0,103.9,28.2,65.46
118.1,104.1,28.2,65.47
118.4,104.4,28.2,65.48
118.7,104.7,28.2,65.49
118.8,104.9,28.2,65.5
118.9,105.1,28.2,65.5
119.0,105.3,28.2,65.49
119.1,105.5,28.2,65.48
119.7,106.1,28.2,65.47
119.9,106.3,28.2,65.46
119.9,106.3,28.2,65.45
119.9,106.3,28.2,65.45
119.8,106.2,28.2,65.45
119.8,106.2,28.19,65.45
120.2,106.5,28.18,65.45
120.6,106.8,28.17,65.45
120.9,107.0,28.16,65.46
121.1,107.1,28.15,65.47
120.1,106.1,28.14,65.49
119.4,105.4,28.13,65.51
118.9,104.9,28.12,65.53
118.4,104.4,28.11,65.54
117.9,103.9,28.1,65.55
117.3,103.3,28.1,65.56
116.5,102.5,28.1,65.57
115.6,101.5,28.1,65.58
114.8,100.7,28.1,65.59
114.1,100.0,28.1,65.6
114.0,99.8,28.1,65.6
114.0,99.8,28.1,65.6
114.0,99.7,28.1,65.6
114.0,99.6,28.1,65.6
114.0,99.6,28.09,65.6
114.0,99.6,28.08,65.6
114.0,99.5,28.07,65.6
114.0,99.5,28.06,65.6
113.9,99.4,28.05,65.61
113.9,99.4,28.04,65.62
113.9,99.4,28.03,65.63
113.9,99.4,28.02,65.64
113.9,99.5,28.01,65.66
113.9,99.6,28.0,65.68
113.9,99.5,28.0,65.7
113.9,99.5,28.0,65.72
113.9,99.5,28.0,65.75
113.9,99.6,28.0,65.78
114.0,99.7,27.99,65.8
114.0,99.7,27.98,65.82
114.0,99.8,27.98,65.84
114.0,99.8,27.98,65.87
114.0,99.8,27.98,65.88
114.0,99.8,27.98,65.89
114.0,99.9,27.97,65.9
114.0,99.9,27.96,65.91
114.0,100.0,27.95,65.91
114.0,100.0,27.94,65.91
114.0,100.0,27.94,65.91
114.0,99.8,27.94,65.91
114.1,99.8,27.93,65.91
114.1,99.8,27.92,65.9
114.1,99.8,27.91,65.91
114.1,99.7,27.9,65.92
114.1,99.7,27.9,65.93
114.1,99.7,27.9,65.94
114.1,99.7,27.9,65.95
114.1,99.7,27.9,65.96
114.1,99.7,27.9,65.97
114.1,99.9,27.89,65.98
114.0,99.9,27.88,65.99
114.0,99.9,27.87,66.0
114.0,99.9,27.86,66.01
114.0,100.0,27.85,66.02
114.0,100.0,27.84,66.03
